image,threshold
kaz02_0485,123.0
kaz02_0486,118.0
kaz02_0487,122.0
kaz02_0488,119.0
kaz02_0489,118.0
kaz02_0490,115.0
kaz02_0491,118.0
kaz02_0492,117.0
kaz02_0493,120.0
kaz02_0494,117.0
kaz02_0495,119.0
kaz02_0496,109.0
kaz02_0497,102.0
kaz02_0498,105.0
kaz02_0499,109.0
kaz02_0500,110.0
kaz02_0501,114.0
kaz02_0502,111.0
kaz02_0503,113.0
kaz02_0504,108.0
kaz02_0505,109.0
kaz02_0506,108.0
kaz02_0507,111.0
kaz02_0508,109.0
kaz02_0509,112.0
kaz02_0510,111.0
kaz02_0511,113.0
kaz02_0512,107.0
kaz02_0513,109.0
kaz02_0514,108.0
kaz02_0515,110.0
kaz02_0516,108.0
kaz02_0517,111.0
kaz02_0518,108.0
kaz02_0519,111.0
kaz02_0520,109.0
kaz02_0521,112.0
kaz02_0522,112.0
kaz02_0523,115.0
kaz02_0524,112.0
kaz02_0525,116.0
kaz02_0526,113.0
kaz02_0527,117.0
kaz02_0528,110.0
kaz02_0529,116.0
kaz02_0530,112.0
kaz02_0531,117.0
kaz02_0532,113.0
kaz02_0533,117.0
kaz02_0534,114.0
kaz02_0535,117.0
kaz02_0536,108.0
kaz02_0537,115.0
kaz02_0538,111.0
kaz02_0539,114.0
kaz02_0540,112.0
kaz02_0541,115.0
kaz02_0542,111.0
kaz02_0543,114.0
kaz02_0544,112.0
kaz02_0545,113.0
kaz02_0546,118.0
kaz02_0547,119.0
kaz02_0548,115.0
kaz02_0549,115.0
kaz02_0550,117.0
kaz02_0551,119.0
kaz02_0552,116.0
kaz02_0553,118.0
kaz02_0554,117.0
kaz02_0555,120.0
kaz02_0556,115.0
kaz02_0557,113.0
kaz02_0558,117.0
kaz02_0559,118.0
kaz02_0560,116.0
kaz02_0561,120.0
kaz02_0562,115.0
kaz02_0563,114.0
kaz02_0564,114.0
kaz02_0565,117.0
kaz02_0566,115.0
kaz02_0567,114.0
kaz02_0568,117.0
kaz02_0569,120.0
kaz02_0570,116.0
kaz02_0571,117.0
kaz02_0572,120.0
kaz02_0573,121.0
kaz02_0574,116.0
kaz02_0575,118.0
kaz02_0576,118.0
kaz02_0577,118.0
kaz02_0578,117.0
kaz02_0579,119.0
kaz02_0580,117.0
kaz02_0581,118.0
kaz02_0582,118.0
kaz02_0583,119.0
kaz02_0584,116.0
kaz02_0585,120.0
kaz02_0586,118.0
kaz02_0587,121.0
kaz02_0588,119.0
kaz02_0589,123.0
kaz02_0590,118.0
kaz02_0591,120.0
kaz02_0592,121.0
kaz02_0593,119.0
kaz02_0594,117.0
kaz02_0595,120.0
kaz02_0596,117.0
kaz02_0597,118.0
kaz02_0598,117.0
kaz02_0599,118.0
kaz02_0600,116.0
kaz02_0601,117.0
kaz02_0602,117.0
kaz02_0603,122.0
kaz02_0604,114.0
kaz02_0605,116.0
kaz02_0606,120.0
kaz02_0607,122.0
kaz02_0608,114.0
kaz02_0609,123.0
kaz02_0610,120.0
kaz02_0611,121.0
kaz02_0612,117.0
kaz02_0613,117.0
kaz02_0614,123.0
kaz02_0615,124.0
kaz02_0616,119.0
kaz02_0617,118.0
kaz02_0618,119.0
kaz02_0619,122.0
kaz02_0620,117.0
kaz02_0621,116.0
kaz02_0622,119.0
kaz02_0623,121.0
